compton,up,1,1,1.00,Thu Feb 08 2018 16:00:02 GMT+0800 (+08),2018-02-08 16:00:02
menlo,up,1,1,1.00,Thu Feb 08 2018 16:00:02 GMT+0800 (+08),2018-02-08 16:00:02
orange,up,1,1,1.00,Thu Feb 08 2018 16:00:02 GMT+0800 (+08),2018-02-08 16:00:02
perks,down,1,0,0,Thu Feb 08 2018 16:00:02 GMT+0800 (+08),2018-02-08 16:00:02
cambrige,down,1,0,0,Thu Feb 08 2018 16:00:02 GMT+0800 (+08),2018-02-08 16:00:02
sudo,down,1,0,0,Thu Feb 08 2018 16:00:02 GMT+0800 (+08),2018-02-08 16:00:02
compton,up,1,1,1.00,Thu Feb 08 2018 17:00:02 GMT+0800 (+08),2018-02-08 17:00:02
menlo,up,1,1,1.00,Thu Feb 08 2018 17:00:02 GMT+0800 (+08),2018-02-08 17:00:02
orange,up,1,1,1.00,Thu Feb 08 2018 17:00:02 GMT+0800 (+08),2018-02-08 17:00:02
perks,down,1,0,0,Thu Feb 08 2018 17:00:02 GMT+0800 (+08),2018-02-08 17:00:02
cambrige,down,1,0,0,Thu Feb 08 2018 17:00:02 GMT+0800 (+08),2018-02-08 17:00:02
sudo,down,1,0,0,Thu Feb 08 2018 17:00:02 GMT+0800 (+08),2018-02-08 17:00:02
compton,up,1,1,1.00,Thu Feb 08 2018 18:00:02 GMT+0800 (+08),2018-02-08 18:00:02
menlo,up,1,1,1.00,Thu Feb 08 2018 18:00:02 GMT+0800 (+08),2018-02-08 18:00:02
orange,up,1,1,1.00,Thu Feb 08 2018 18:00:02 GMT+0800 (+08),2018-02-08 18:00:02
perks,down,1,0,0,Thu Feb 08 2018 18:00:02 GMT+0800 (+08),2018-02-08 18:00:02
cambrige,down,1,0,0,Thu Feb 08 2018 18:00:02 GMT+0800 (+08),2018-02-08 18:00:02
sudo,down,1,0,0,Thu Feb 08 2018 18:00:02 GMT+0800 (+08),2018-02-08 18:00:02
compton,up,1,1,1.00,Thu Feb 08 2018 19:00:01 GMT+0800 (+08),2018-02-08 19:00:01
menlo,up,1,1,1.00,Thu Feb 08 2018 19:00:01 GMT+0800 (+08),2018-02-08 19:00:01
orange,up,1,1,1.00,Thu Feb 08 2018 19:00:01 GMT+0800 (+08),2018-02-08 19:00:01
perks,down,1,0,0,Thu Feb 08 2018 19:00:01 GMT+0800 (+08),2018-02-08 19:00:01
cambrige,down,1,0,0,Thu Feb 08 2018 19:00:01 GMT+0800 (+08),2018-02-08 19:00:01
sudo,down,1,0,0,Thu Feb 08 2018 19:00:01 GMT+0800 (+08),2018-02-08 19:00:01
compton,up,1,1,1.00,Thu Feb 08 2018 20:00:01 GMT+0800 (+08),2018-02-08 20:00:01
menlo,up,1,1,1.00,Thu Feb 08 2018 20:00:01 GMT+0800 (+08),2018-02-08 20:00:01
orange,up,1,1,1.00,Thu Feb 08 2018 20:00:01 GMT+0800 (+08),2018-02-08 20:00:01
perks,down,1,0,0,Thu Feb 08 2018 20:00:01 GMT+0800 (+08),2018-02-08 20:00:01
cambrige,down,1,0,0,Thu Feb 08 2018 20:00:01 GMT+0800 (+08),2018-02-08 20:00:01
sudo,down,1,0,0,Thu Feb 08 2018 20:00:01 GMT+0800 (+08),2018-02-08 20:00:01
compton,up,1,1,1.00,Thu Feb 08 2018 21:00:02 GMT+0800 (+08),2018-02-08 21:00:02
menlo,up,1,1,1.00,Thu Feb 08 2018 21:00:02 GMT+0800 (+08),2018-02-08 21:00:02
orange,up,1,1,1.00,Thu Feb 08 2018 21:00:02 GMT+0800 (+08),2018-02-08 21:00:02
perks,down,1,0,0,Thu Feb 08 2018 21:00:02 GMT+0800 (+08),2018-02-08 21:00:02
cambrige,down,1,0,0,Thu Feb 08 2018 21:00:02 GMT+0800 (+08),2018-02-08 21:00:02
sudo,down,1,0,0,Thu Feb 08 2018 21:00:02 GMT+0800 (+08),2018-02-08 21:00:02
compton,up,1,1,1.00,Thu Feb 08 2018 22:00:02 GMT+0800 (+08),2018-02-08 22:00:02
menlo,up,1,1,1.00,Thu Feb 08 2018 22:00:02 GMT+0800 (+08),2018-02-08 22:00:02
orange,up,1,1,1.00,Thu Feb 08 2018 22:00:02 GMT+0800 (+08),2018-02-08 22:00:02
perks,down,1,0,0,Thu Feb 08 2018 22:00:02 GMT+0800 (+08),2018-02-08 22:00:02
cambrige,down,1,0,0,Thu Feb 08 2018 22:00:02 GMT+0800 (+08),2018-02-08 22:00:02
sudo,down,1,0,0,Thu Feb 08 2018 22:00:02 GMT+0800 (+08),2018-02-08 22:00:02
compton,up,1,1,1.00,Thu Feb 08 2018 23:00:02 GMT+0800 (+08),2018-02-08 23:00:02
menlo,up,1,1,1.00,Thu Feb 08 2018 23:00:02 GMT+0800 (+08),2018-02-08 23:00:02
orange,up,1,1,1.00,Thu Feb 08 2018 23:00:02 GMT+0800 (+08),2018-02-08 23:00:02
perks,down,1,0,0,Thu Feb 08 2018 23:00:02 GMT+0800 (+08),2018-02-08 23:00:02
cambrige,down,1,0,0,Thu Feb 08 2018 23:00:02 GMT+0800 (+08),2018-02-08 23:00:02
sudo,down,1,0,0,Thu Feb 08 2018 23:00:02 GMT+0800 (+08),2018-02-08 23:00:02
compton,up,1,1,1.00,Fri Feb 09 2018 00:00:02 GMT+0800 (+08),2018-02-09 00:00:02
menlo,up,1,1,1.00,Fri Feb 09 2018 00:00:02 GMT+0800 (+08),2018-02-09 00:00:02
orange,up,1,1,1.00,Fri Feb 09 2018 00:00:02 GMT+0800 (+08),2018-02-09 00:00:02
perks,down,1,0,0,Fri Feb 09 2018 00:00:02 GMT+0800 (+08),2018-02-09 00:00:02
cambrige,down,1,0,0,Fri Feb 09 2018 00:00:02 GMT+0800 (+08),2018-02-09 00:00:02
sudo,down,1,0,0,Fri Feb 09 2018 00:00:02 GMT+0800 (+08),2018-02-09 00:00:02
compton,up,1,1,1.00,Fri Feb 09 2018 01:00:02 GMT+0800 (+08),2018-02-09 01:00:02
menlo,up,1,1,1.00,Fri Feb 09 2018 01:00:02 GMT+0800 (+08),2018-02-09 01:00:02
orange,up,1,1,1.00,Fri Feb 09 2018 01:00:02 GMT+0800 (+08),2018-02-09 01:00:02
perks,down,1,0,0,Fri Feb 09 2018 01:00:02 GMT+0800 (+08),2018-02-09 01:00:02
cambrige,down,1,0,0,Fri Feb 09 2018 01:00:02 GMT+0800 (+08),2018-02-09 01:00:02
sudo,down,1,0,0,Fri Feb 09 2018 01:00:02 GMT+0800 (+08),2018-02-09 01:00:02
compton,up,1,1,1.00,Fri Feb 09 2018 02:00:01 GMT+0800 (+08),2018-02-09 02:00:01
menlo,up,1,1,1.00,Fri Feb 09 2018 02:00:01 GMT+0800 (+08),2018-02-09 02:00:01
orange,up,1,1,1.00,Fri Feb 09 2018 02:00:01 GMT+0800 (+08),2018-02-09 02:00:01
perks,down,1,0,0,Fri Feb 09 2018 02:00:01 GMT+0800 (+08),2018-02-09 02:00:01
cambrige,down,1,0,0,Fri Feb 09 2018 02:00:01 GMT+0800 (+08),2018-02-09 02:00:01
sudo,down,1,0,0,Fri Feb 09 2018 02:00:01 GMT+0800 (+08),2018-02-09 02:00:01
compton,up,1,1,1.00,Fri Feb 09 2018 03:00:01 GMT+0800 (+08),2018-02-09 03:00:01
menlo,up,1,1,1.00,Fri Feb 09 2018 03:00:01 GMT+0800 (+08),2018-02-09 03:00:01
orange,up,1,1,1.00,Fri Feb 09 2018 03:00:01 GMT+0800 (+08),2018-02-09 03:00:01
perks,down,1,0,0,Fri Feb 09 2018 03:00:01 GMT+0800 (+08),2018-02-09 03:00:01
cambrige,down,1,0,0,Fri Feb 09 2018 03:00:01 GMT+0800 (+08),2018-02-09 03:00:01
sudo,down,1,0,0,Fri Feb 09 2018 03:00:01 GMT+0800 (+08),2018-02-09 03:00:01
compton,up,1,1,1.00,Fri Feb 09 2018 04:00:01 GMT+0800 (+08),2018-02-09 04:00:01
menlo,up,1,1,1.00,Fri Feb 09 2018 04:00:01 GMT+0800 (+08),2018-02-09 04:00:01
orange,up,1,1,1.00,Fri Feb 09 2018 04:00:01 GMT+0800 (+08),2018-02-09 04:00:01
perks,down,1,0,0,Fri Feb 09 2018 04:00:01 GMT+0800 (+08),2018-02-09 04:00:01
cambrige,down,1,0,0,Fri Feb 09 2018 04:00:01 GMT+0800 (+08),2018-02-09 04:00:01
sudo,down,1,0,0,Fri Feb 09 2018 04:00:01 GMT+0800 (+08),2018-02-09 04:00:01
compton,up,1,1,1.00,Fri Feb 09 2018 05:00:01 GMT+0800 (+08),2018-02-09 05:00:01
menlo,up,1,1,1.00,Fri Feb 09 2018 05:00:01 GMT+0800 (+08),2018-02-09 05:00:01
orange,up,1,1,1.00,Fri Feb 09 2018 05:00:01 GMT+0800 (+08),2018-02-09 05:00:01
perks,down,1,0,0,Fri Feb 09 2018 05:00:01 GMT+0800 (+08),2018-02-09 05:00:01
cambrige,down,1,0,0,Fri Feb 09 2018 05:00:01 GMT+0800 (+08),2018-02-09 05:00:01
sudo,down,1,0,0,Fri Feb 09 2018 05:00:01 GMT+0800 (+08),2018-02-09 05:00:01
compton,up,1,1,1.00,Fri Feb 09 2018 06:00:02 GMT+0800 (+08),2018-02-09 06:00:02
menlo,up,1,1,1.00,Fri Feb 09 2018 06:00:02 GMT+0800 (+08),2018-02-09 06:00:02
orange,up,1,1,1.00,Fri Feb 09 2018 06:00:02 GMT+0800 (+08),2018-02-09 06:00:02
perks,down,1,0,0,Fri Feb 09 2018 06:00:02 GMT+0800 (+08),2018-02-09 06:00:02
cambrige,down,1,0,0,Fri Feb 09 2018 06:00:02 GMT+0800 (+08),2018-02-09 06:00:02
sudo,down,1,0,0,Fri Feb 09 2018 06:00:02 GMT+0800 (+08),2018-02-09 06:00:02
compton,up,1,1,1.00,Fri Feb 09 2018 07:00:03 GMT+0800 (+08),2018-02-09 07:00:03
perks,down,1,0,0,Fri Feb 09 2018 07:00:03 GMT+0800 (+08),2018-02-09 07:00:03
menlo,up,1,1,1.00,Fri Feb 09 2018 07:00:03 GMT+0800 (+08),2018-02-09 07:00:03
sudo,down,1,0,0,Fri Feb 09 2018 07:00:03 GMT+0800 (+08),2018-02-09 07:00:03
cambrige,down,1,0,0,Fri Feb 09 2018 07:00:03 GMT+0800 (+08),2018-02-09 07:00:03
orange,up,1,1,1.00,Fri Feb 09 2018 07:00:03 GMT+0800 (+08),2018-02-09 07:00:03
compton,up,1,1,1.00,Fri Feb 09 2018 08:00:02 GMT+0800 (+08),2018-02-09 08:00:02
menlo,up,1,1,1.00,Fri Feb 09 2018 08:00:02 GMT+0800 (+08),2018-02-09 08:00:02
orange,up,1,1,1.00,Fri Feb 09 2018 08:00:02 GMT+0800 (+08),2018-02-09 08:00:02
perks,down,1,0,0,Fri Feb 09 2018 08:00:02 GMT+0800 (+08),2018-02-09 08:00:02
cambrige,down,1,0,0,Fri Feb 09 2018 08:00:02 GMT+0800 (+08),2018-02-09 08:00:02
sudo,down,1,0,0,Fri Feb 09 2018 08:00:02 GMT+0800 (+08),2018-02-09 08:00:02
compton,up,1,1,1.00,Fri Feb 09 2018 09:00:02 GMT+0800 (+08),2018-02-09 09:00:02
menlo,up,1,1,1.00,Fri Feb 09 2018 09:00:02 GMT+0800 (+08),2018-02-09 09:00:02
orange,up,1,1,1.00,Fri Feb 09 2018 09:00:02 GMT+0800 (+08),2018-02-09 09:00:02
